title,category,context,char_count,word_count,code_switching,has_date,has_location,has_person,has_shhal,has_shno
أونسا: الدلاح لي كاين فالسوق مزيان وما فيه والو,آش واقع,تفاعل المكتب الوطني للسلامة الصحية للمنتجات الغذائية (ONSSA) مع المعطيات ما يتداول حول تسجيل حالات تسمم بعد تناول الدلاح. وكالت، فنشرة خاصة، أنها “كتشرف بدقة على استخدام المبيدات في الزراعات، وخاصة البطيخ، حيث أنه قبل تسويق أي مبيد مخصص للبطيخ، يتم تقييمه علميا”.,263,43,1,0,1,0,0,1
اتاهماتو بالتحرش الجنسي.. الممثل الميريكاني رايان رينولدز كيدعم مراتو ضد المخرج بالدوني,ميديا وثقافة,عبر الممثل الميريكاني المشهور رايان رينولدز على الدعم الكبير ديالو لمراتو بليك ليفلي، بعدما رفعات دعوى قضائية ضد مخرج فيلم It Ends with Us جاستن بالدوني، وكتتهمو بالتحرش الجنسي.,177,29,1,0,0,0,0,1
نسبة ملء السدود تحسنات مقارنة مع العام لي فات.. زيادة بـ5 فالمائة ولكن الخطر باقي كاين,آش واقع,كشفت معطيات صادرة عن وزارة التجهيز والماء المغربية، أن نسبة ملء السدود الرئيسية في المملكة بلغت حوالي 28.65 %، بحجم إجمالي يقارب 4824.94 مليون متر مكعب، وذلك حتى 23 دجنبر 2024.,176,31,0,1,1,1,1,0
متابع فيها القيادي البامي الكبداني.. المرافعات بدات فقضية تورّط مسؤولين فجماعة “سيدي سليمان شراعة” فاختلاس وتبديد فلوس,آش واقع,قررت غرفة الجنايات الابتدائية المكلفة بالبث في جرائم المالية بمحكمة الاستئناف بفاس، أمس الثلاثاء، تأخير محاكمة عبد اللطيف الكبداني القيادي البارز في حزب الأصالة والمعاصرة، إلى جانب عدد من المسؤولين بجماعة “سيدي سليمان شراعة” بإقليم بركان.,238,36,0,0,1,1,0,1
استطلاع.. المغنية تايلور سويفت عندها سمعة حسن من المرشحين للانتخابات الميريكانية الجايا,الرئيسية,دار الجورنال ديال “نيويورك تايمز” الميريكاني واحد الاستطلاع على سمعة المرشحين للانتخابات الميريكانية الجايا، دونالد ترامب، وكامالا هاريس، بالمقارنة مع النجمة العالمية، المغنية تايلور سويفت.,189,25,0,0,0,1,0,0
والي علمي كيوصي بإحداث لجان لتتبع تنفيذ العقوبات البديلة واعتماد الرقمنة,آش واقع,قدم أحمد والي علمي، رئيس قطع الدعوى العمومية وتتبع تنفيذ السياسة الجنائية برئاسة النيابة العامة، أمس الخميس بفاس، عدد من التوصيات خلال عرض قدمه في لقاء حول الإشكالات العملية المرتبطة بإقرار العقوبات البديلة للعقوبات السالبة للحرية: أي دور للنيابة العامة؟.,255,40,0,0,1,1,0,0
لتعزيز السيادة الغذائية: منصة رقمية وطنية طلقات للتجميع الرقمي والتمويل وها شحال كيغطي مشروع تكامل دبا من هكتار فبلادنا,آش واقع,وقعت الفدرالية البيمهنية لأنشطة للحبوب وتكامل الفلاح، التابعة لمجموعة “SOWIT”، اتفاقية شراكة هامة تهدف إلى إطلاق منصة رقمية وطنية للتجميع الرقمي والتمويل مخصصة لمنتجي الحبوب.,174,25,1,0,0,0,0,1
“ستارباكس” كتعيش أزمة كبيرة في ميريكان.. الخدامة دايرين إضرابات وها علاش,تبركيك,علن اتحاد “وركرز يونيتد”، لي كيمثل أكثر من 10 آلاف خدام في قطاع المقاهي، أن الإضراب لي بدا نهار الجمعة لي فات توسع باش يوصل ل4 ديال المدن جديدة.,144,29,0,0,0,0,1,1
تأجيل محاكمة ملف “إسكوبار الصحرا” ومحامي الناصيري: موكلي قدم وثائق وأسماء للفرقة الوطنية ولم تضمن ونطالب بالاستماع إليها,الرئيسية,انعقدت اليوم الجمعة جلسة جديدة لمحاكمة سعيد الناصيري الرئيس الأسبق للوداد الرياضي والقيادي السابق لحزب الأصالة والمعاصرة وعبد النبي بعيوي الرئيس السابق لجهة الشرق والمتابعين معهم فملف ما يعرف ب “اسكوبار الصحرا”.,211,32,0,0,1,1,0,1
رئاسة النيابة العامة تحزمات لمكافحة المنشطات استعدادا للكان والمونديال.. بلاوي: هاد الظاهرة رجعات خطر على الرياضة,آش واقع,رسيما، تم اليوم الأربعاء، الإعلان عن انطلاق العمل باتفاقية التعاون والشراكة بين رئاسة النيابة العامة والوكالة المغربية لمكافحة المنشطات ورئاسة النيابة العامة وقيادة الدرك الملكي والمديرية العامة للأمن الوطني في مجال التحريات والتحقيقات ذات الصلة بمكافحة لمنشطات.,262,37,0,0,1,0,0,1
حرب الوجاهة ففاس كيفاش قدر الطاشرون بوزوبع يطيح إمبراطورية طاشرون اخر الجامعي من “المغرب الفاسي”. جوامعة لصقو فيهم غير لفضايح فاللخر واسماعيلهم “لعب” ب”الماص”,كود سبور,الطاشرون الملياردير محمد بوزوبع، مؤسس ورئيس مجلس إدارة مجموعة الأشغال العامة للبناء “TGCC”، بان دبا أنه قدر يطيح إمبراطورية الجامعي من فريق المغرب الرياضي الفاسي اللي عندها تاريخ كبير بزاف مع الفريق لكن كيفاش دار لهادشي.,220,36,1,0,1,1,0,1
المغاربة فرحانين وناشطين بافتتاح “المتحف الوطني المصري” وتمناو يكون عندهم حتى هوما واحد بحالو,ميديا وثقافة,فأجواء كلها حماس ونشاط، مصر لبارح افتتحات أكبر متحف فالعالم، سماتو “المتحف الوطني المصري”، واللي كيتعتبر واحد من أهم المعالم الثقافية والتاريخية، هاد المتحف فيه آلاف التحف القديمة اللي كتوري تاريخ مصر الحضاري على مدار آلاف السنين، وكيتعرض بطريقة عصرية وجذابة كيبين الاهتمام الكبير بالحفاظ على التراث.,300,47,0,0,1,0,0,1
محكمة فرانساوية غادي تعيط لكيم كارداشيان باش تاخد الشهادة ديالها ف”جريمة” شهيرة وقعات في باريس,تبركيك,كتقول التقارير أن كيم كارداشيان غادي تدلي بشهادتها فالمحاكمة ديال عصابة متورطة فسرقتها الشهيرة اللي وقعات فباريس ف2016.,119,18,0,0,1,0,0,1
"أرقام رسمية: أسعار الصناعات الغذائية تراجعات فبلادنا بـ0,7  %وصناعة لحوايج تزادت",آش واقع,"أفادت المندوبية السامية للتخطيط أن الرقم الاستدلالي للأثمان عند الإنتاج لقطاع “الصناعات التحويلية باستثناء تكرير البترول”، سجل انخفاضا قدره 0,1% خلال شهر ماي 2025 مقارنة مع شهر أبريل 2025.",188,29,0,0,0,1,1,0
حزب الله: قرار تجريدنا من السلاح يقدر يوصلنا لـ”حرب أهلية”,جورنالات بلادي,قال أمين عام حزب الله، نعيم قاسم، الجمعة، إن قرار الحكومة اللبنانية تجريد الحزب من سلاحه قد يؤدي إلى “حرب أهلية”، مؤكدا أن الحزب مستعدّ لخوض “معركة” للحفاظ على سلاحه.,166,30,0,0,1,1,0,1
سيدنا معزيا فرس: ساهم فتألق الكرة المغربية قاريا ودوليا,كود سبور,بعث الملك محمد السادس برقية تعزية ومواساة إلى أفراد أسرة المرحوم أحمد فرس. وقال الملك، في هذه البرقية: “علمنا ببالغ التأثر والأسى، بنبأ وفاة المشمول بعفو الله ورضاه، اللاعب الدولي السابق المرحوم أحمد فرس، تغمده الله بواسع رحمته، وأحسن قبوله إلى جواره”.,252,42,0,0,0,1,0,1
شكوك ان الخيانة مورا قتل طبيبة ففاس على يد راجلها الطبيب والوكيل العام كلف طبيب شرعي باش يدير ليها اليوم التشريح,آش واقع,تتواصل حاليا التحريات والأبحاث من طرف المصلحة الولائية للشرطة القضائية بفاس حول ظروف وملابسات إقدام طبيب معروف بالمستشفى الجهوي الغساني على قتل زوجته الطبيبة بنفس المؤسسة الصحية.,178,27,0,0,1,1,0,1
كاس العرش: الوداد قصاو الفتح وتأهلو لثمن النهائي,كود سبور,خطف فريق الوداد الرياضي التأهل إلى ثمن نهائي كأس العرش، بعدما ربح اليوم الجمعة فتيران العربي الزاولي الضيف ديالو الفتح الرياضي، ضمن دور سدس عشر نهائي المسابقة.,159,27,0,0,1,1,0,1
بعد فيلدا مدرب اللبؤات.. المدعي العام الإسباني ناوي يتابع حتى دي لافونتي مدرب إسبانيا  فقضية “البوسة صحا” وها علاش,كود سبور,طالب المدعي العام الإسباني بمتابعة الناخب الإسباني لويس دي لافويتي مدرب منتخب الرجال الإسباني، بتهمة شهادة الزور والإدلاء بتصريحات كاذبة في قضية ما يعرف ب”البوسة صحا” المتابع فيها لويس روبياليس رئيس الاتحاد الإسباني الأسبق لكرة القدم، بتهم الاعتداء الجنسي على لاعبة المنتخب الإسباني النسوي جيني هيرموسو.,303,46,0,0,0,0,0,1
ميداوي على أزمة طلبة طب: هادي زعفة ودايزا وعندي ثقة عمياء فهاد الطلبة.. والصحافة كتشوش على المفاوضات,آش واقع,قال عز الدين ميداوي، وزير التعليم العالي والبحث العلمي، بلي أزمة طلبة الطب غير “زعفة ودايزا” كيف غنا الشاب خالد، لبارح فلجنة التعليم والثقافة لي ترأسها البرلماني الاستقلالي الفرفاري العياشي.,190,30,0,0,0,1,0,1
مع رجوع جواد الزيات.. بوشروان رجع يخدم مع الشابي فالرجا,كود سبور,رجع هشام بوشروان للطاقم التقني ديال الرجاء الرياضي، بعدما تعرض عليه شحال من مرة يرجع يخدم فيه ولكن كان متحفظ حتى رجع جواد الزيات لرئاسة النادي، وكان كايخدم غير مع اللجنة التقنية والتنسيق خلال تسيير المكاتب السابقة اللي جات من ورا الزيات.,237,42,0,0,1,1,0,1
سالا زمن الفوضى والتخلويض فالمارشيات والسليت فالخدمة.. التهراوي مزير كولشي:  المستشفيات العمومية غاتمشي ليها لجن ميدانية للمراقبة وتحسين الخدمات ومواكبة المريض وظروف استقباله وعلاجه,آش واقع,أعلنت وزارة الصحة والحماية الاجتماعية عن إحداث لجان ميدانية لمواكبة إصلاح جميع المؤسسات الصحية العمومية ابتداءً من شتنبر 2025، وذلك في إطار الجهود الوطنية الهادفة إلى ترسيخ أسس الدولة الاجتماعية، وتعميم الحماية الاجتماعية، وضمان الحق في خدمات صحية ذات جودة.,257,40,0,0,0,1,0,1
محكمة مريكانية رفضات دعوى جديدة بتهمة الاغتصاب ضد ديدي وها علاش,تبركيك,رفضات محكمة ميريكانية نهار الاثنين دعوى قضائية قدمتها واحدة مجهولة ضد شون “ديدي” كومبس، وكتتهمو فيها بالاغتصاب.,111,17,0,0,0,0,0,1
الرواضي صبح داير زيارات مفاجئة لعدد من المؤسسات التعليمية ففاس وها شكون هو المدير اللي حصل غايب على خدمتو,آش واقع,علمت “كود” أن فؤاد الرواضي، مدير الأكاديمية الجهوية للتربية والتكوين بجهة فاس مكناس، أجرى صباح اليوم الخميس، زيارة مفاجئة إلى الثانوية التأهيلية التقنية.,153,23,0,0,1,1,0,0
الوزير برادة: العربية ديالي ضعيفة صراحة.. ولكن الحرقة على ولاد المغاربة هي اللي كتحركني وملي جيت مالقيتش لا تقييم ولا تخطيط تربوي,آش واقع,شهد اجتماع لجنة التعليم والثقافة والاتصال بمجلس النواب نقاشاً ساخناً بين وزير التربية الوطنية محمد سعد برادة وعدد من البرلمانيين، بعد ملاحظات وانتقادات وجهت له بخصوص تدبير الدخول المدرسي.,187,29,0,0,0,1,0,0
هاذو هوما اللي خاص بوريطة يورينا حنة إيديه معاهم.. الرئيس الكولومبي عبّر على دعمه للبوليساريو ولبسوه دراعة,آش واقع,استقبل الرئيس الكولومبي، گوستافو بيترو، اليوم الخميس الموافق لتاريخ 27 نونبر 2025، مسؤول البوليساريو لأمريكا اللاتينية ومنطقة البحر الكاريبي، محمد زروگ.,152,21,0,1,0,1,0,0
“النيفو طايح”.. أجيو تعرفو المهدي بنسعيد من بدايتو لدبا: من كسول فـ”ليسي” ديكارت لهزان الشكارة لمسؤول كبير ثم لوزير الترفيه والصفقات المشبوهات,الرئيسية,المهدي بنسعيد، الفتى المدلل في البام، او الرجل للي قدم راسو بأنه رجل أعمال فالانتخابات ديال 2021، كيفاش رجل أعمال وشنو خدمتو وتخصصو، حتى معارف وهادي معروفة عند أوساط المال والأعمال بالعاصمة.,190,32,0,0,0,1,0,0
من كازا إلى ساو باولو: جسر كيربط بين جنوبين… وأبعد,آش واقع,يبدو المشهد الجوي مألوفا في مطار غواروليوس الدولي، أهم مطارات البرازيل وأمريكا الجنوبية، غير أن طائرة موشومة بألوان العلم المغربي الأحمر والأخضر تجذب الأنظار، فهي لا تقل ركابا فحسب، بل تبني جسرا بين قارتين وتفتح آفاقا لفرص جديدة.,229,38,0,0,1,0,0,0
إسرائيل طلقات سراح مجموعة من المعتقلين الفلسطينيين بعدما تسلمات جثث 4  دالرهائن,جورنالات بلادي,وصلت حافلة على متنها مجموعة من المعتقلين الفلسطينيين الذين أفرجت عنهم إسرائيل فجر الخميس إلى مدينة رام الله بالضفة الغربية.,123,20,0,0,1,0,0,0
لماذا تضحك أيها اللحم من كلام نزار بركة؟! لا يمكن لخطاب سياسي حول الدجاج واللحوم في اولاد فرج أن يكون بكل هذا اللطف والهدوء,آراء,منذ السبت الماضي واللحم لا يكف عن الضحك من كلمة ألقاها نزار بركة. وليس وحده.,76,15,0,0,0,1,0,0
محكمة النقض بدات تصفي عدد من ملفات الفساد المالي اللي معروضين عليها هادي سنوات وباغية تفك نسبة كبيرة منهم قبل نهاية 2025,آش واقع,علمت “كود” أن محكمة النقض بالرباط، شرعت منذ الأسابيع القليلة الماضية، في تصفية عدد من الملفات التي عرضت عليها منذ سنوات المرتبطة بجرائم الفساد المالي التي يتابع فيها سياسيون ورؤساء جماعات صدرت في حقهم عقوبات سالبة للحرية من طرف المحاكم المالية المختصة.,252,42,0,0,1,1,0,1
بن عبو الخبير فالمناخ لـ”كود”: الوضعية المائية في بلادنا ماشي مريحة ومزالة تحت ضغط الإجهاد المائي وكاين ارتفاع تدريجي لنسبة ملء السدود,آش واقع,أكد المهندس محمد بن عبو الخبير في المناخ والتنمية المستدامة، أن الوضعية الهيدرولوجية بالمملكة استقرت منذ أيام في حدود 29 في المائة، بعدما كانت تسجل حوالي 25 في المائة في نفس الفترة من السنة الماضية.,198,35,0,0,0,1,1,0
“سناب شات” وسط فضيحة ف ميريكان.. ولاية فلوريدا رفعات ضدها دعوى قضائية وهادي التفاصيل,ميديا وثقافة,رفعت ولاية فلوريدا الأميركية، دعوى قضائية على الشركة المالكة لتطبيق سناب شات لتبادل الصور واتهمتها باستخدام خصائص في التطبيق تتسبب في إدمان الأطفال على متابعته وبفتح حسابات لأطفال في الثالثة عشرة من العمر وما دون ذلك.,217,36,0,0,0,1,0,1
بعدما هزو إمام أوغلو للحبس.. احتجاجات كبيرة ف إسطنبول,جورنالات بلادي,شهدت إسطنبول، مساء الأحد، احتجاجات حاشدة بعد نقل رئيس البلدية أكرم إمام أوغلو، للسجن. كما اندلعت اشتباكات بين الأمن ومحتجين.,124,20,0,0,1,0,0,1
السياح المغاربة مكرهين بسباب ثمن لوطيلات والخدمات. الوزيرة عمور لـ”كود”: قريبا غادي يتبدل هاد الوضع باش نقطعو مع هاد الممارسات العشوائية,آش واقع,العطلة الصيفية 2025 مزال مستمرة والأغلبية كونجي لكن السياح المغاربة كاعيين بزاف على غلاء الخدمات الفندقية والسياحية وحتى من تردي الجودة. لكن واش هادشي غادي يبقى مستمر كل عام وشنو هوما الحلول؟. “كود” سولات فاطمة الزهراء عمور وزير السياحة على هادشي الإشكالية.,257,42,0,0,0,1,0,0
30 عام وهوما غابرين.. بوليس ميريكان لقاو الرفات د جثة مرا وبنتها,تبركيك,أعلنت شرطة نيويورك، الأربعاء، أنها تمكنت من تحديد هوية امرأة وطفلة تم العثور على رفاتهما متناثرة على طول طريق سريع على شاطئ المحيط بالقرب من شاطئ جيلجو لونغ يلاند، وذلك بعد قرابة 3 عقود من اختفائهما لأول مرة.,208,38,0,0,0,0,1,1
كوارث المطرح الجماعي ففاس.. لجنة مختلطة مشات لهاد النقطة لكحلة بعد تدخل الداخلية وها شنو طلبات,آش واقع,دعا عبد الغني الصبار، والي جهة فاس-مكناس بالنيابة، إلى تشكيل لجنة مختلطة، وذلك من أجل القيام بتشخيص ميداني لوضعية الروائح التي وُصِفت بالكريهة والمنبعثة من المطرح الجماعي لمدينة فاس واقتراح الحلول العاجلة والملائمة.,215,33,0,0,1,0,0,1
ترامب: خاص نساليو هاد الكابوس اللي فقطاع غزة,جورنالات بلادي,قال الرئيس الأميركي دونالد ترامب، يوم الاثنين، إن الوضع في غزة سيئ جدا ويجب إطلاق سراح الرهائن العشرين.,103,18,0,0,0,0,0,1
كثر من 212 ألف مشاهدة في أقل من 24 ساعة: طوطو طلق الحفل الأسطوري لي دار فموازين فلاشين يوتيب.. ثبت بلي فنان الجيل والعهد الجديد لي هزم “بنكيران” ميسي السياسة ومعه الخوانجية,ميديا وثقافة,الرابور المغربي إلگراندي طوطو، طلق البارح الحفل الأسطوري لي دار فمهرجان موازين 2025 على قناته الرسمية في يوتيوب، بحيث حققت أكثر من 212 ألف مشاهدة في أقل من 24 ساعة. عرض أسطوري دارو فيه كولشي: حضور جماهيري غفير، تفاعل كبير، تاثير وجرأة فنية ورقص وانسجام الرابور مع جمهور الجيل والعهد الجديد.,290,51,0,0,1,0,1,1
حكيمي ما لاعبش مع PSG ضد ستراسبورگ باش يوجّد راسو للأرسنال,كود سبور,ما لاعبش الدولي المغربي اشرف حكيمي مع باريس سان جرمان، اليوم السبت ضد ستراسبورگ ضمن منافسات بطولة فرنسا.,104,18,0,0,1,1,0,0
توقعات الكرة الذهبية: لامين يامال غايربحها وديمبيلي غايجي السابع وحكيمي التاسع,كود سبور,نايضة صباح اليوم الاثنين بين المتتبعين ديال كرة القدم العالمية، وكلشي كايتسنى شكون غايربح جائزة الكرة الذهبية 2025، المقدمة من “فرانس فوتبول” لأحسن لاعب فالعالم، واللي غادي توزعها المجلة الفرنسية اليوم الاثنين 22 شتنبر.,219,34,0,1,0,1,0,1
واخا صادق عليها المجلس الوزاري برئاسة الملك لبارح..البيجيدي كيعارض الترشيح المستقل فالانتخابات التشريعية,آش واقع,عبر عبد الله بووانو، رئيس المجموعة النيابية للعدالة والتنمية، عن تخوفه من استمرار تبخيس الأحزاب السياسية، بمناسبة الإعداد للانتخابات المقبلة. وذلك بعد ساعات قليلة من مصادقة المجلس الوزاري على مشروعي قانونين تنظيميين كيهمو الاحزاب والانتخابات البرلمانية.,253,36,0,0,0,1,0,1
تقرير : ها تداعيات منح مريكان الضو الخضر للمغرب لإنتاج مكونات رئيسية للمقاتلات المتطورة,جورنالات بلادي,قال موقع إل بيريوديكو ديجيتال الاسباني، القرار الأمريكي الأخير بالسماح بنقل التكنولوجيا العسكرية إلى المغرب أثار سلسلة من ردود الفعل الدولية، بالنظر إلى ما يشكله تفويض نقل التكنولوجيا العسكرية من تغيير ف المشهد الجيوسياسي.,222,34,0,0,1,0,0,1
بحضور لقجع وموتسيبي.. إنفانتينو دشن المكتب الجديد للفيفا فالمغرب,كود سبور,افتتح السويسري جياني إنفانتينو رئيس الاتحاد الدولي لكرة القدم، المقر الإقليمي للفيفا بالمغرب. وخلال حفل انطلق قبل لحظات من صباح اليوم السبت 26 يوليوز، دشن جياني إنفانتينو رئيس الاتحاد الدولي لكرة القدم المكتب الإقليمي الجديد للفيفا بالقارة الإفريقية بالعاصمة المغربية الرباط.,275,41,0,1,1,1,0,1
رئيس مجلس النواب تلقى وزير خارجية بنما: السيادة والوحدة الترابية قضية مقدسة.. والتنسيق فالمحافل الدولية وتبادل التجارب أولوية العمل المشترك,آش واقع,أجرى رئيس مجلس النواب راشيد الطالبي العلمي، يوم الثلاثاء 17 يونيو 2025 بمقر المجلس في الرباط، مباحثات مع Javier Eduardo Martinez-Acha Vasquez وزير العلاقات الخارجية بجمهورية بنما، حيث يقوم بزيارة عمل للمملكة المغربية.,217,33,1,1,1,0,0,1
بتعليمات من سيدنا.. وفد عسكري مغربي مشا للصبليون: تطوير العلاقات فمجالات المحافظة والأرشيف والتسيير المتحفي على الطاولة,آش واقع,قام وفد عسكري برئاسة اللواء يوسف المهدي، رئيس مديرية التاريخ العسكري لأركان الحرب العامة للقوات المسلحة الملكية، بزيارة لعدة مؤسسات عسكرية تهتم بالمتاحف والأرشيف والتاريخ العسكري بإسبانيا، من 13 إلى 17 يناير 2025.,213,33,0,1,1,1,0,1
الزمالك حسمو صفقة مدافع الزمامرة صلاح مصدق,الرئيسية,حسم الزمالك المصري صفقة اللاعب المغربي صلاح مصدق من فريق نهضة الزمامرة. وكشفت مصادر مطلعة، أن الزمالك المصري اتفقوا مع صلاح مصدق باش يسني معهم عقد المدة ديالو 3 مواسم ونص، ومن المنتظر يكون فمصر خلال الساعات المقبلة باش يدير تيست ميديكال ويسني معهم.,248,44,0,0,1,1,1,1
الجيش ديالنا غادي يعزز سلاح المدرعات بتكنولوجيا إسرائيلية جديدة,جورنالات بلادي,تُواصل القوات المسلحة الملكية تحديث ترسانتها الحربية بالاعتماد على صناعة الأسلحة الاسرائيلية، حيث تم عقد صفقة جديدة مع شركة “إلبيت سيستمز” الإسرائيلية.,151,22,0,0,1,1,0,1
